"","chromosome","start","end","Infant_OPC1","Infant_OPC2","Infant_OPC3","Infant_OPC4","Infant_OPC5"
"18654","chr5",64147515,64148258,68,126,210,197,91
"18655","chr5",64164946,64170222,899,1228,2153,2525,1003
"18656","chr5",64180762,64181755,93,92,192,166,63
"18657","chr5",64204226,64216455,2521,2882,5650,5935,2380
"18658","chr5",64228546,64230571,269,206,537,588,204
"18659","chr5",64268865,64269623,48,89,139,92,41
"18660","chr5",64307882,64309067,173,124,272,286,172
"18661","chr5",64315416,64316649,207,154,258,316,166
"18662","chr5",64331781,64332526,85,123,141,140,64
"18663","chr5",64333901,64334483,85,44,114,97,66
"18664","chr5",64505219,64508687,1356,1733,1881,2533,1108
"18665","chr5",64556633,64557617,120,120,146,132,76
"18666","chr5",64565880,64566865,142,119,211,206,104
"18667","chr5",64587084,64588617,242,222,298,253,184
"18668","chr5",64594140,64595132,59,70,183,117,67
"18669","chr5",64611824,64612756,54,94,193,220,84
"18670","chr5",64759766,64761761,330,236,479,604,260
"18671","chr5",64767599,64769341,678,626,821,1009,456
"18672","chr5",64850879,64851628,230,99,210,246,127
"18673","chr5",65014632,65016082,176,159,410,435,183
"18674","chr5",65028010,65028464,73,61,78,98,42
"18675","chr5",65034606,65037066,658,758,1067,1589,659
"18676","chr5",65087895,65088291,78,70,65,88,53
"18677","chr5",65102447,65103899,452,435,602,795,396
"18678","chr5",65125043,65127328,795,612,1103,1225,612
"18679","chr5",65131137,65131882,59,61,152,146,54
"18680","chr5",65135642,65137797,599,371,666,645,384
"18681","chr5",65190624,65191953,138,113,273,276,129
"18682","chr5",65363270,65368427,999,746,1456,1959,494
"18683","chr5",65439996,65440974,250,116,257,313,144
"18684","chr5",65479517,65483867,2372,2220,4159,5620,1903
"18685","chr5",65562951,65563808,192,188,242,361,154
"18686","chr5",65615708,65616203,55,62,96,84,28
"18687","chr5",65623372,65625922,769,734,888,1238,526
"18688","chr5",65695040,65696929,280,267,471,593,180
"18689","chr5",65721072,65723606,296,373,511,808,237
"18690","chr5",65770554,65772505,268,203,369,408,249
"18691","chr5",65776332,65777107,85,56,144,164,76
"18692","chr5",65790315,65790864,85,34,97,99,59
"18693","chr5",65791166,65793080,423,377,839,851,362
"18694","chr5",65799425,65803262,308,278,468,502,258
"18695","chr5",65807919,65808979,142,150,271,294,144
"18696","chr5",65816736,65820627,540,409,822,935,384
"18697","chr5",65827935,65835531,450,403,578,730,278
"18698","chr5",65924000,65927872,1663,1642,1757,2772,1387
"18699","chr5",65928173,65929572,78,109,186,319,94
"18700","chr5",66012678,66013551,97,151,142,181,89
"18701","chr5",66074857,66075849,95,80,181,139,79
"18702","chr5",66143439,66146743,1370,1477,1549,2462,1133
"18703","chr5",66177003,66177733,83,54,153,110,57
"18704","chr5",66178209,66180859,546,388,751,781,349
"18705","chr5",66596093,66597941,239,262,344,405,173
"18706","chr5",66661027,66661749,140,122,181,151,135
"18707","chr5",66665861,66666988,238,171,269,233,204
"18708","chr5",66680137,66680767,125,96,198,152,91
"18709","chr5",66717701,66718518,118,78,160,126,112
"18710","chr5",66828226,66829267,175,122,303,235,111
"18711","chr5",66957749,66962217,1338,1573,2207,2753,1003
"18712","chr5",66963471,66963855,26,30,51,42,21
"18713","chr5",66980150,66982814,216,282,718,694,231
"18714","chr5",66983585,66984269,99,88,217,195,95
"18715","chr5",67002518,67005435,329,459,929,966,390
"18716","chr5",67019160,67019641,35,54,128,132,38
"18717","chr5",67046326,67047990,159,161,268,186,134
"18718","chr5",67057163,67057730,72,55,137,120,45
"18719","chr5",67065144,67065762,73,54,147,127,68
"18720","chr5",67095115,67095971,81,87,149,173,66
"18721","chr5",67106795,67107965,182,137,300,316,172
"18722","chr5",67135053,67136091,188,183,296,328,165
"18723","chr5",67147957,67150803,156,292,560,541,191
"18724","chr5",67152098,67155704,176,385,397,456,204
"18725","chr5",67165655,67166822,90,97,215,184,85
"18726","chr5",67196061,67197422,108,160,214,289,95
"18727","chr5",67215494,67216335,40,70,109,162,84
"18728","chr5",67245508,67247548,71,87,147,166,43
"18729","chr5",67267051,67270684,397,706,572,576,263
"18730","chr5",67282289,67286246,136,107,211,199,67
"18731","chr5",67287131,67288702,24,22,38,32,17
"18732","chr5",67290236,67294403,127,174,204,265,119
"18733","chr5",67299925,67300681,37,32,46,54,20
"18734","chr5",67314473,67316220,284,338,378,563,237
"18735","chr5",67353498,67354149,46,59,82,66,26
"18736","chr5",67493648,67495302,46,50,92,91,52
"18737","chr5",67536979,67539622,454,584,938,1291,528
"18738","chr5",67635485,67636795,209,322,510,490,224
"18739","chr5",67639867,67640494,28,38,62,90,14
"18740","chr5",67642331,67643109,32,22,35,76,12
"18741","chr5",67648161,67649415,25,82,101,101,53
"18742","chr5",67723805,67726702,442,830,791,844,350
"18743","chr5",67731128,67732914,234,251,369,502,185
"18744","chr5",67772929,67775215,473,356,867,1070,410
"18745","chr5",67792746,67793592,66,79,99,97,60
"18746","chr5",67809508,67810050,89,99,140,174,56
"18747","chr5",67815103,67816671,64,120,169,173,54
"18748","chr5",68014383,68016359,439,498,763,937,391
"18749","chr5",68054851,68055201,38,38,60,65,32
"18750","chr5",68086599,68087611,52,60,85,86,33
"18751","chr5",68168888,68173590,331,1446,1242,1436,488
"18752","chr5",68186436,68190172,751,999,1028,1411,505
"18753","chr5",68203599,68204959,243,276,384,507,184
"18754","chr5",68214144,68220733,1064,1675,1538,2831,978
"18755","chr5",68221733,68228614,705,775,1579,1674,676
"18756","chr5",68228951,68235014,810,900,1575,2076,663
"18757","chr5",68237115,68241845,412,342,771,976,360
"18758","chr5",68248209,68262324,1573,1463,3396,4089,1514
"18759","chr5",68263288,68270180,383,409,872,1020,388
"18760","chr5",68270601,68274797,342,246,509,612,258
"18761","chr5",68281173,68293164,2247,2780,4009,5650,1848
"18762","chr5",68296643,68298286,162,170,339,356,158
"18763","chr5",68305280,68307043,99,117,210,243,109
"18764","chr5",68438929,68439555,72,62,179,161,54
"18765","chr5",68499914,68502070,544,433,739,924,445
"18766","chr5",68533936,68534991,68,117,131,153,64
"18767","chr5",68561086,68563273,369,408,624,941,291
"18768","chr5",68714300,68715404,91,43,82,123,67
"18769","chr5",68727987,68728370,22,16,43,41,14
"18770","chr5",68728753,68731528,199,188,443,586,194
"18771","chr5",68817409,68819273,392,406,472,807,244
"18772","chr5",68962685,68963261,32,58,76,143,31
"18773","chr5",69006964,69008070,46,22,96,86,52
"18774","chr5",69029221,69031395,147,93,152,168,76
"18775","chr5",69042473,69044113,410,542,954,1214,405
"18776","chr5",69093606,69094849,283,281,328,603,299
"18777","chr5",69166731,69167431,115,104,145,163,96
"18778","chr5",69188920,69189740,135,160,157,279,98
"18779","chr5",69217370,69218625,152,179,248,404,104
"18780","chr5",69234248,69235735,160,236,298,377,132
"18781","chr5",69254640,69255578,149,106,186,228,106
"18782","chr5",69332402,69333040,75,133,128,225,79
"18783","chr5",69334145,69335138,128,170,240,333,116
"18784","chr5",69368701,69370343,593,514,604,835,386
"18785","chr5",71455248,71456551,302,260,321,483,210
"18786","chr5",71586771,71587827,208,293,275,466,168
"18787","chr5",71778946,71779233,35,36,97,77,16
"18788","chr5",71782585,71783714,98,131,270,266,99
"18789","chr5",71829940,71831006,244,163,233,251,145
"18790","chr5",72013826,72015569,268,170,334,446,170
"18791","chr5",72035678,72036041,80,46,60,59,37
"18792","chr5",72105905,72111478,921,1167,1638,2197,788
"18793","chr5",72120897,72123024,203,318,442,480,229
"18794","chr5",72133768,72134955,123,110,192,260,88
"18795","chr5",72141368,72146234,617,902,1176,1559,536
"18796","chr5",72154192,72154897,57,108,151,205,60
"18797","chr5",72155574,72158228,384,780,787,1073,400
"18798","chr5",72164216,72165063,30,77,129,138,42
"18799","chr5",72165497,72168191,364,742,942,1127,466
"18800","chr5",72178278,72181340,403,499,664,926,330
"18801","chr5",72182952,72183946,41,82,122,147,52
"18802","chr5",72191127,72191884,77,89,166,179,83
"18803","chr5",72209121,72209666,59,63,82,90,53
"18804","chr5",72210409,72211663,92,126,196,215,107
"18805","chr5",72240844,72243216,378,229,380,505,209
"18806","chr5",72281476,72282287,71,86,127,151,60
"18807","chr5",72304890,72306032,61,76,122,153,61
"18808","chr5",72307437,72309300,520,469,761,1240,423
"18809","chr5",72319619,72320798,387,395,374,687,305
"18810","chr5",72349385,72350990,247,166,455,764,162
"18811","chr5",72478764,72479118,34,32,78,54,42
"18812","chr5",72509262,72511242,219,215,320,352,184
"18813","chr5",72556308,72557298,126,190,204,234,82
"18814","chr5",72602526,72603481,90,133,134,230,75
"18815","chr5",72608239,72608994,104,117,148,209,67
"18816","chr5",72610823,72611612,104,127,169,211,111
"18817","chr5",72647796,72648093,54,38,69,66,26
"18818","chr5",72815439,72818304,1702,1539,1835,2604,1299
"18819","chr5",72847730,72849299,508,548,462,652,331
"18820","chr5",72878852,72879665,90,81,113,138,78
"18821","chr5",72884588,72885520,74,58,83,106,48
"18822","chr5",72955297,72956989,594,645,713,934,435
"18823","chr5",73117847,73119964,58,36,139,83,48
"18824","chr5",73125879,73127118,64,86,199,160,88
"18825","chr5",73274413,73275990,214,172,346,448,180
"18826","chr5",73497129,73499189,847,811,959,1408,715
"18827","chr5",73563936,73566241,652,531,656,1270,459
"18828","chr5",73625394,73627108,156,250,269,527,221
"18829","chr5",73634266,73635060,41,96,147,166,76
"18830","chr5",73640894,73641604,92,112,214,275,108
"18831","chr5",73653406,73656388,674,687,1171,1531,661
"18832","chr5",73674023,73674525,50,81,97,119,47
"18833","chr5",73867197,73867798,89,40,109,113,69
"18834","chr5",73898486,73903127,618,762,1872,1939,848
"18835","chr5",73948473,73949312,78,70,155,137,74
"18836","chr5",74017622,74018448,146,84,222,201,109
"18837","chr5",74206268,74207279,100,109,163,148,76
"18838","chr5",74226749,74227978,148,148,328,378,96
"18839","chr5",74231756,74233124,147,112,348,318,115
"18840","chr5",74329388,74330002,75,77,131,125,43
"18841","chr5",74499369,74500591,166,132,299,198,112
"18842","chr5",74512497,74513224,143,128,180,195,94
"18843","chr5",74514713,74516372,205,290,303,403,159
"18844","chr5",74517980,74518236,17,40,49,43,27
"18845","chr5",74556042,74556847,91,63,161,159,68
"18846","chr5",74616231,74616955,97,161,266,266,121
"18847","chr5",74627344,74628756,169,187,242,246,197
"18848","chr5",74629379,74630974,149,182,229,306,140
"18849","chr5",74637373,74642477,1443,2065,2264,3230,1322
"18850","chr5",74646054,74649513,313,497,962,1095,349
"18851","chr5",74672064,74673932,113,285,501,420,147
"18852","chr5",74684936,74685409,64,59,66,158,41
"18853","chr5",74766349,74767948,379,372,462,688,267
"18854","chr5",74798733,74799971,100,64,150,91,52
"18855","chr5",74861965,74863970,122,132,227,285,96
"18856","chr5",74864593,74867162,636,886,882,1511,687
"18857","chr5",74876261,74879226,192,274,397,463,184
"18858","chr5",75044287,75045031,38,54,125,106,52
"18859","chr5",75047944,75049102,42,97,83,92,69
"18860","chr5",75052311,75054670,407,602,642,969,539
"18861","chr5",75235661,75237426,254,363,537,740,287
"18862","chr5",75336088,75338743,1263,733,1256,2360,989
"18863","chr5",75340707,75342696,232,233,311,341,166
"18864","chr5",75359059,75364190,677,1399,1949,2136,791
"18865","chr5",75398919,75399658,62,29,77,68,36
"18866","chr5",75465294,75466597,198,173,348,361,199
"18867","chr5",75510169,75512583,764,882,812,1363,631
"18868","chr5",75524194,75525104,117,94,159,213,72
"18869","chr5",75545111,75545532,56,42,89,97,38
"18870","chr5",75611351,75612150,56,117,149,115,75
"18871","chr5",75655907,75657210,477,526,738,916,450
"18872","chr5",75663402,75664208,113,72,156,130,67
"18873","chr5",75716943,75717805,111,134,112,145,98
"18874","chr5",75951219,75951968,145,100,169,199,95
"18875","chr5",76243133,76243838,123,104,157,102,90
"18876","chr5",76482482,76483328,135,95,165,147,118
"18877","chr5",76983446,76983819,19,31,70,51,25
"18878","chr5",77028044,77031252,348,518,693,956,342
"18879","chr5",77076859,77078759,239,316,410,525,238
"18880","chr5",77084676,77088344,899,1025,1374,1864,781
"18881","chr5",77132283,77134014,174,109,210,234,120
"18882","chr5",77138208,77139679,47,42,112,94,40
"18883","chr5",77146898,77148041,48,90,108,89,73
"18884","chr5",77154973,77158679,242,334,408,405,214
"18885","chr5",77162357,77165137,282,702,595,658,286
"18886","chr5",77166390,77170076,368,903,610,710,315
"18887","chr5",77178288,77182143,149,383,417,561,231
"18888","chr5",77209493,77212342,307,596,558,855,332
"18889","chr5",77231606,77232072,40,77,87,109,46
"18890","chr5",77233021,77233453,37,25,65,77,44
"18891","chr5",77261611,77263187,159,164,313,342,152
"18892","chr5",77299765,77301835,221,135,415,410,156
"18893","chr5",77310652,77311632,86,107,181,197,78
"18894","chr5",77324423,77327318,433,547,816,1018,427
"18895","chr5",77416585,77418580,190,231,434,409,212
"18896","chr5",77423870,77424733,37,41,94,93,30
"18897","chr5",77437077,77440052,279,412,628,640,264
"18898","chr5",77490953,77492962,706,701,705,1243,539
"18899","chr5",77512994,77513813,111,61,146,211,110
"18900","chr5",77775283,77776739,298,247,284,400,233
"18901","chr5",77843697,77845114,163,173,218,301,153
"18902","chr5",77847197,77848715,115,93,110,124,79
"18903","chr5",77850648,77853924,572,948,1142,1546,584
"18904","chr5",77897875,77901993,214,74,129,152,54
"18905","chr5",77990118,77995015,257,147,234,242,107
"18906","chr5",78002615,78003284,122,64,128,130,76
"18907","chr5",78003811,78008475,298,150,336,385,112
"18908","chr5",78213253,78214511,304,254,476,502,176
"18909","chr5",78279996,78280921,118,87,147,162,108
"18910","chr5",78294026,78295569,294,310,415,628,280
"18911","chr5",78331584,78332114,71,100,166,133,65
"18912","chr5",78359594,78361738,530,600,623,1052,569
"18913","chr5",78416206,78417826,194,214,384,352,202
"18914","chr5",78485371,78487230,140,219,300,291,163
"18915","chr5",78494776,78496932,131,177,341,304,146
"18916","chr5",78503898,78513814,1234,1720,2902,3113,1188
"18917","chr5",78533217,78534840,103,299,359,384,175
"18918","chr5",78536195,78538767,88,238,436,490,145
"18919","chr5",78539716,78544172,376,577,1150,1131,532
"18920","chr5",78548247,78550315,194,358,629,729,250
"18921","chr5",78561792,78563290,162,262,438,499,236
"18922","chr5",78565012,78571855,1384,1863,3239,3866,1456
"18923","chr5",78574029,78575850,165,328,493,596,228
"18924","chr5",78576464,78579033,256,355,855,835,349
"18925","chr5",78612586,78614264,164,127,389,351,149
"18926","chr5",78621185,78622238,90,112,198,179,87
"18927","chr5",78623528,78626502,311,484,770,875,365
"18928","chr5",78627089,78628033,54,114,239,232,87
"18929","chr5",78636029,78641432,834,1221,2215,2324,1025
"18930","chr5",78646264,78649883,752,1081,1211,1662,731
"18931","chr5",78658540,78659855,86,210,208,252,118
"18932","chr5",78747455,78748232,116,100,188,191,95
"18933","chr5",78818837,78819801,101,113,243,229,96
"18934","chr5",78830225,78830952,67,97,158,164,76
"18935","chr5",78919700,78920872,135,265,372,368,193
"18936","chr5",78972560,78975366,377,680,799,922,307
"18937","chr5",78983403,78986466,998,1311,1506,2228,923
"18938","chr5",79024783,79025587,49,104,206,277,96
"18939","chr5",79130577,79132308,140,209,403,370,149
"18940","chr5",79133268,79134350,96,192,403,446,144
"18941","chr5",79235461,79238054,365,474,743,1296,428
"18942","chr5",79261474,79263491,186,158,358,392,164
"18943","chr5",79269226,79269432,48,7,55,42,20
"18944","chr5",79285160,79286463,145,156,417,554,223
"18945","chr5",79303030,79303697,30,48,103,73,35
"18946","chr5",79318637,79319049,60,38,109,126,28
"18947","chr5",79378608,79379048,47,52,92,85,55
"18948","chr5",79508276,79509287,38,96,215,279,88
"18949","chr5",79510507,79511219,16,90,102,161,35
"18950","chr5",79511869,79515278,544,1064,1441,2452,883
"18951","chr5",79574007,79574562,58,78,136,172,74
"18952","chr5",79611831,79613553,304,377,451,603,251
"18953","chr5",79666393,79668315,256,246,508,599,240
"18954","chr5",79689137,79695727,592,1055,1801,2328,864
"18955","chr5",79697075,79697682,50,68,187,161,46
"18956","chr5",79702587,79703642,63,100,144,204,78
"18957","chr5",79743978,79748703,719,1364,1990,2415,860
"18958","chr5",79749809,79754272,732,1135,1912,2581,832
"18959","chr5",79758684,79760159,188,231,460,482,220
"18960","chr5",79774590,79776081,127,118,302,391,146
"18961","chr5",79801895,79808634,1046,1331,2669,3134,1052
"18962","chr5",79832083,79832412,38,43,73,79,54
"18963","chr5",79889509,79891327,229,390,596,656,287
"18964","chr5",79990635,79991786,180,272,302,462,160
"18965","chr5",80034645,80042795,243,994,2886,2942,431
"18966","chr5",80056454,80058507,127,321,614,680,236
"18967","chr5",80068761,80070708,68,118,262,295,88
"18968","chr5",80081495,80086617,380,710,1106,1538,498
"18969","chr5",80091725,80092123,18,41,61,88,14
"18970","chr5",80108620,80110783,213,333,414,572,238
"18971","chr5",80134587,80136153,142,164,289,357,131
"18972","chr5",80139562,80139942,29,55,87,114,44
"18973","chr5",80140682,80156930,1888,3486,4145,5561,1984
"18974","chr5",80157638,80159854,142,222,265,357,160
"18975","chr5",80165583,80166550,64,87,146,166,56
"18976","chr5",80169399,80170574,91,116,222,262,95
"18977","chr5",80173621,80175683,115,182,320,477,136
"18978","chr5",80179025,80185400,523,894,1222,1766,519
"18979","chr5",80185835,80212518,3630,5040,8242,11931,3824
"18980","chr5",80215590,80221967,702,920,1526,2072,737
"18981","chr5",80225624,80226830,86,83,125,239,70
"18982","chr5",80229550,80230882,141,136,261,279,134
"18983","chr5",80233888,80234819,128,98,137,286,89
"18984","chr5",80237034,80241701,802,854,1350,1735,672
"18985","chr5",80242948,80249041,456,535,1053,1233,449
"18986","chr5",80249891,80257952,1024,1881,2385,3991,1078
"18987","chr5",80268735,80269376,83,46,105,165,78
"18988","chr5",80318031,80318591,63,36,114,137,50
"18989","chr5",80367967,80371001,849,880,1620,1765,547
"18990","chr5",80372148,80374024,253,230,496,517,174
"18991","chr5",80406848,80410660,1490,1680,1858,2746,1085
"18992","chr5",80487626,80489397,365,529,576,847,338
"18993","chr5",80654658,80655463,165,195,166,419,126
"18994","chr5",80668346,80669249,32,44,106,116,45
"18995","chr5",80825512,80826563,248,177,326,340,208
"18996","chr5",81125992,81126330,38,48,91,87,46
"18997","chr5",81184187,81184890,129,80,177,191,64
"18998","chr5",81202710,81203179,67,33,79,107,44
"18999","chr5",81210085,81210607,74,72,92,121,52
"19000","chr5",81232482,81236340,296,409,773,819,356
"19001","chr5",81242918,81243689,32,79,132,126,40
"19002","chr5",81245783,81248569,691,617,1190,1414,656
"19003","chr5",81300725,81302208,437,453,571,1049,373
"19004","chr5",81310687,81312695,408,348,640,565,326
"19005","chr5",81408326,81410079,298,169,362,372,273
"19006","chr5",81418985,81423482,912,446,1178,1250,702
"19007","chr5",81425384,81426825,193,148,406,418,182
"19008","chr5",81505284,81507530,122,151,339,393,130
"19009","chr5",81524103,81525428,188,159,365,307,152
"19010","chr5",81581672,81582445,135,83,167,161,95
"19011","chr5",81749321,81752619,777,976,1056,1551,804
"19012","chr5",81778347,81779715,316,399,691,714,367
"19013","chr5",81783259,81783798,46,93,189,139,48
"19014","chr5",81787993,81788518,86,98,171,188,73
"19015","chr5",81848261,81848519,62,45,94,131,38
"19016","chr5",81849574,81853696,1074,1340,1886,2180,875
"19017","chr5",81856895,81858203,254,245,345,433,157
"19018","chr5",81924248,81924753,95,77,117,134,75
"19019","chr5",81971059,81972974,691,607,973,1248,550
"19020","chr5",82050710,82051622,51,76,265,233,65
"19021","chr5",82074955,82075370,82,70,122,109,64
"19022","chr5",82095234,82096514,183,142,239,333,197
"19023","chr5",82105652,82107097,108,125,263,246,84
"19024","chr5",82150559,82151109,90,62,145,179,85
"19025","chr5",82164974,82166489,168,152,344,372,128
"19026","chr5",82185769,82186482,87,78,178,161,82
"19027","chr5",82277764,82279123,400,377,517,722,235
"19028","chr5",82292706,82294939,414,442,683,1094,387
"19029","chr5",82307473,82308085,44,47,142,118,52
"19030","chr5",82344859,82351033,1099,1838,2865,3633,1308
"19031","chr5",82351443,82352552,54,155,273,375,80
"19032","chr5",82364464,82365281,45,92,131,213,58
"19033","chr5",82470255,82471003,116,35,187,177,111
"19034","chr5",82522548,82523540,243,154,281,346,221
"19035","chr5",82635308,82636300,143,142,271,323,126
"19036","chr5",82638291,82643811,877,1552,2716,3173,982
"19037","chr5",82644124,82647705,109,342,674,909,192
"19038","chr5",82670262,82671249,54,74,172,180,54
"19039","chr5",82729848,82732815,422,408,941,1194,447
"19040","chr5",82734452,82735379,80,72,157,142,67
"19041","chr5",82746142,82754480,1592,2097,3491,4246,1555
"19042","chr5",82831278,82831761,42,57,100,133,60
"19043","chr5",82858543,82859040,16,31,63,79,41
"19044","chr5",82861673,82863665,255,263,552,697,270
"19045","chr5",82894613,82895376,124,97,110,206,71
"19046","chr5",82921793,82923259,255,253,385,409,158
"19047","chr5",82951902,82953065,220,222,391,422,326
"19048","chr5",83033554,83038868,1350,2018,2806,3334,1287
"19049","chr5",83057191,83058142,70,60,108,144,54
"19050","chr5",83066723,83067015,27,21,34,72,22
"19051","chr5",83067473,83070579,336,400,678,871,333
"19052","chr5",83071055,83072991,129,187,227,336,120
"19053","chr5",83075144,83078312,411,565,646,951,328
"19054","chr5",83095237,83103658,972,1726,2287,2841,933
"19055","chr5",83117218,83117371,42,16,41,56,36
"19056","chr5",83145596,83146688,99,101,136,138,60
"19057","chr5",83195586,83196499,20,73,109,124,34
"19058","chr5",83196624,83198454,379,386,742,737,317
"19059","chr5",83201488,83202470,40,47,81,81,38
"19060","chr5",83203753,83213116,799,1312,1375,1357,578
"19061","chr5",83253761,83254201,54,24,71,49,49
"19062","chr5",83419887,83420825,155,146,271,221,125
"19063","chr5",83467225,83468718,128,195,336,394,126
"19064","chr5",83470494,83477095,1368,2015,2619,3697,1279
"19065","chr5",83478845,83480897,63,95,252,225,107
"19066","chr5",83482528,83483525,72,115,217,190,75
"19067","chr5",83506767,83507718,62,82,158,185,72
"19068","chr5",83508935,83513984,346,312,679,717,330
"19069","chr5",83526417,83532401,611,574,1355,1489,694
"19070","chr5",83534744,83537323,134,144,424,478,178
"19071","chr5",83540309,83541599,69,74,234,209,90
"19072","chr5",83547037,83554303,963,672,2163,2550,959
"19073","chr5",83555705,83558503,132,168,478,531,197
"19074","chr5",83560483,83571216,1260,1263,2983,4142,1333
"19075","chr5",83583180,83584497,155,161,318,416,131
"19076","chr5",83589172,83591440,115,132,179,328,96
"19077","chr5",83604431,83605843,163,184,362,456,208
"19078","chr5",83607786,83608546,66,84,250,277,101
"19079","chr5",83627385,83627914,76,43,153,121,70
"19080","chr5",83636097,83637231,197,195,248,340,167
"19081","chr5",83641003,83642848,563,565,879,1013,490
"19082","chr5",83653650,83654973,152,151,270,320,121
"19083","chr5",83671079,83675804,1543,1758,3121,3877,1520
"19084","chr5",83718462,83719941,130,203,420,646,170
"19085","chr5",83721019,83723563,779,821,1024,1288,655
"19086","chr5",83742614,83743550,182,135,383,333,160
"19087","chr5",83878022,83879178,133,136,420,370,170
"19088","chr5",83922609,83923458,61,67,198,241,49
"19089","chr5",83925325,83926548,182,257,458,535,169
"19090","chr5",83946118,83946787,71,54,114,161,47
"19091","chr5",83987781,83988953,114,137,258,317,111
"19092","chr5",84091060,84092247,174,222,288,352,114
"19093","chr5",84113331,84114570,210,212,340,431,185
"19094","chr5",84129514,84132034,144,216,376,500,136
"19095","chr5",84136533,84138520,144,192,455,518,154
"19096","chr5",84181237,84183024,98,111,231,214,80
"19097","chr5",84230846,84233951,137,171,414,509,148
"19098","chr5",84237021,84237494,25,31,52,69,19
"19099","chr5",84250193,84250623,39,42,63,104,38
"19100","chr5",84259204,84260798,97,151,261,298,87
"19101","chr5",84261423,84262840,152,151,311,333,123
"19102","chr5",84272645,84274015,71,104,155,148,42
"19103","chr5",84274750,84276665,96,122,161,196,68
"19104","chr5",84284420,84288797,219,365,529,724,250
"19105","chr5",84289185,84295023,747,1542,1667,2271,740
"19106","chr5",84306173,84308475,152,140,267,251,117
"19107","chr5",84328148,84331617,200,228,361,426,131
"19108","chr5",84375772,84376742,41,66,128,96,28
"19109","chr5",84378291,84388399,1294,3318,4424,6663,1920
"19110","chr5",84388716,84396578,494,638,1538,2378,499
"19111","chr5",84562015,84570424,864,630,1222,1762,576
"19112","chr5",84571171,84574589,282,367,573,724,229
"19113","chr5",84603469,84604378,86,102,160,169,87
"19114","chr5",84649902,84651111,124,93,169,169,73
"19115","chr5",84879280,84879618,92,36,67,74,33
"19116","chr5",85998441,85999386,185,107,197,214,114
"19117","chr5",86371053,86371708,179,81,188,158,144
"19118","chr5",86617612,86619605,298,407,561,877,331
"19119","chr5",86824475,86825231,120,85,152,141,74
"19120","chr5",86861615,86861881,55,26,57,44,44
"19121","chr5",86968144,86968878,152,148,217,311,154
"19122","chr5",87267074,87269643,802,824,851,1342,635
"19123","chr5",87320558,87321687,226,243,320,400,223
"19124","chr5",87325675,87326046,43,53,76,64,36
"19125","chr5",87330715,87331134,56,56,64,58,50
"19126","chr5",87375177,87377268,236,232,414,414,183
"19127","chr5",87379738,87381348,167,196,260,277,100
"19128","chr5",87390133,87391232,80,58,104,123,62
"19129","chr5",87410854,87413661,904,536,1414,2411,796
"19130","chr5",87540686,87542324,322,198,337,544,132
"19131","chr5",87660795,87665848,1667,562,1337,1597,848
"19132","chr5",87666522,87668066,227,63,177,211,130
"19133","chr5",87733133,87734561,227,141,260,362,200
"19134","chr5",87750719,87756020,1155,941,1402,1917,769
"19135","chr5",87759898,87761503,179,178,294,373,150
"19136","chr5",87768010,87772383,1442,1332,1957,2574,1038
"19137","chr5",87774926,87776075,140,127,230,287,95
"19138","chr5",87776654,87779344,282,335,489,756,224
"19139","chr5",87780013,87798249,9580,11466,20867,24786,9209
"19140","chr5",87833651,87834396,145,99,219,206,146
"19141","chr5",87864925,87870462,1354,1206,2154,2714,932
"19142","chr5",87876027,87877682,81,178,290,427,100
"19143","chr5",87895791,87902728,1930,1936,4248,4923,1743
"19144","chr5",87943359,87945860,503,319,991,1084,413
"19145","chr5",87947657,87952051,778,414,1305,1499,491
"19146","chr5",88034068,88036275,171,127,455,690,186
"19147","chr5",88041475,88050730,2264,2582,5237,6635,2328
"19148","chr5",88085531,88086267,88,100,139,154,106
"19149","chr5",88089269,88091761,211,251,599,559,241
"19150","chr5",88092352,88095435,313,365,739,893,369
"19151","chr5",88108879,88109450,66,65,149,170,63
"19152","chr5",88136070,88136550,50,62,91,166,52
"19153","chr5",88136993,88138635,88,141,358,389,132
"19154","chr5",88139133,88148943,7705,7875,12308,15252,7096
"19155","chr5",88189581,88191426,156,195,456,625,219
"19156","chr5",88203889,88205287,302,325,526,718,285
"19157","chr5",88214029,88215322,150,97,202,252,107
"19158","chr5",88268085,88270281,295,339,553,753,284
"19159","chr5",88288285,88289087,121,67,224,143,83
"19160","chr5",88387318,88402985,10545,9357,16263,18370,8107
"19161","chr5",88403739,88406255,436,392,815,1026,399
"19162","chr5",88409387,88410046,84,63,143,185,88
"19163","chr5",88473916,88475176,126,73,135,166,64
"19164","chr5",88480133,88481441,136,118,276,259,127
"19165","chr5",88483732,88485907,459,464,809,1050,342
"19166","chr5",88487977,88488957,72,61,159,155,84
"19167","chr5",88501591,88504492,1395,1366,2280,2623,1161
"19168","chr5",88539111,88541246,286,378,619,660,306
"19169","chr5",88544174,88545750,177,190,333,406,170
"19170","chr5",88547570,88554420,728,996,1657,2356,720
"19171","chr5",88554853,88558587,507,514,848,1213,438
"19172","chr5",88649462,88649764,31,41,47,75,18
"19173","chr5",88650627,88651757,110,142,211,211,86
"19174","chr5",88653383,88697528,27658,28545,44964,61034,24174
"19175","chr5",88722503,88723821,123,149,268,324,140
"19176","chr5",88730225,88730868,71,99,164,175,65
"19177","chr5",88784722,88786482,162,199,296,339,140
