"","chromosome","start","end","Infant_MO1","Infant_MO2","Infant_MO3","Infant_MO4","Infant_MO5"
"14398","chr4",95529492,95554213,5417,8088,9494,14245,6566
"14399","chr4",95638897,95641217,545,337,647,652,471
"14400","chr4",95737764,95745578,2889,3837,5374,7270,3519
"14401","chr4",95849477,95850991,298,342,533,665,324
"14402","chr4",96003304,96005087,610,625,861,1233,641
"14403","chr4",96016402,96017399,198,116,275,252,157
"14404","chr4",96039464,96039992,102,54,75,124,64
"14405","chr4",96407765,96408291,68,71,46,92,31
"14406","chr4",96542307,96544314,634,406,795,1418,500
"14407","chr4",96630861,96631250,115,39,52,86,57
"14408","chr4",97215402,97216345,346,85,88,64,116
"14409","chr4",97720775,97721483,149,85,59,151,54
"14410","chr4",98142788,98143973,286,452,346,754,309
"14411","chr4",98259535,98263971,1020,1164,1245,2745,1040
"14412","chr4",98265253,98266301,88,112,145,148,74
"14413","chr4",98269928,98270157,48,38,45,58,22
"14414","chr4",98276869,98278015,149,70,131,146,84
"14415","chr4",98282683,98286587,616,528,740,1026,474
"14416","chr4",98288582,98298871,3028,2989,4347,5925,2762
"14417","chr4",98305346,98306445,210,153,208,203,133
"14418","chr4",98311117,98312480,176,119,158,187,120
"14419","chr4",98313138,98315507,334,168,242,292,182
"14420","chr4",98326093,98327823,470,320,347,664,389
"14421","chr4",98334316,98335244,158,119,75,191,141
"14422","chr4",98335981,98336755,182,103,86,165,117
"14423","chr4",98341128,98341872,189,149,118,232,148
"14424","chr4",98342332,98343505,217,185,244,371,154
"14425","chr4",98352260,98353642,146,129,195,250,118
"14426","chr4",98355113,98356929,188,198,296,376,201
"14427","chr4",98371647,98380621,1652,2133,2769,3841,1832
"14428","chr4",98387522,98388716,134,125,179,167,72
"14429","chr4",98432413,98435100,310,273,350,411,199
"14430","chr4",98443533,98444728,202,103,180,165,117
"14431","chr4",98467346,98471754,394,528,819,1298,491
"14432","chr4",98479001,98484254,893,726,1287,1757,806
"14433","chr4",98491936,98492810,124,124,133,184,120
"14434","chr4",98494719,98497270,373,279,352,524,258
"14435","chr4",98497787,98499585,197,224,305,452,184
"14436","chr4",98508596,98510383,262,230,318,470,203
"14437","chr4",98512992,98513681,116,86,90,125,49
"14438","chr4",98514134,98526295,2601,1656,2474,3471,1916
"14439","chr4",98527582,98528923,188,127,221,229,137
"14440","chr4",98529611,98531203,251,147,265,265,177
"14441","chr4",98540715,98541288,82,59,85,108,81
"14442","chr4",98546167,98548401,432,389,529,782,398
"14443","chr4",98554267,98573042,4001,4648,7245,10660,4463
"14444","chr4",98573803,98575414,103,138,196,229,95
"14445","chr4",98577600,98578541,110,109,141,278,95
"14446","chr4",98579613,98581337,131,105,221,313,137
"14447","chr4",98583340,98589608,1358,1215,1901,2812,1268
"14448","chr4",98601768,98607288,829,1057,1373,1881,854
"14449","chr4",98608155,98616210,1202,1167,1656,2258,1119
"14450","chr4",98617376,98621255,798,712,1155,1425,594
"14451","chr4",98621747,98650816,5427,6291,8475,11285,4875
"14452","chr4",98652837,98661871,1630,2193,3083,4263,1492
"14453","chr4",98662807,98664178,73,74,108,141,68
"14454","chr4",98801043,98803610,475,366,584,857,460
"14455","chr4",98808663,98809568,181,120,172,221,143
"14456","chr4",98838222,98838885,60,50,57,90,35
"14457","chr4",98927855,98930225,1050,939,821,1946,1031
"14458","chr4",98994569,98996617,228,478,346,790,295
"14459","chr4",99073616,99074097,111,52,100,112,58
"14460","chr4",99080243,99082135,418,225,266,415,224
"14461","chr4",99087518,99089359,405,437,491,924,383
"14462","chr4",99463404,99463840,49,44,86,110,46
"14463","chr4",99467123,99469131,756,444,697,1009,665
"14464","chr4",99563152,99564336,401,562,454,1168,458
"14465","chr4",99593854,99594316,141,49,70,113,70
"14466","chr4",99886204,99886523,57,23,60,70,36
"14467","chr4",99893939,99894985,223,200,237,424,239
"14468","chr4",99945698,99951140,1054,1078,1005,2164,953
"14469","chr4",99997983,99998925,228,136,209,322,166
"14470","chr4",101050516,101051784,196,192,288,375,163
"14471","chr4",101101147,101105023,363,943,1384,2113,612
"14472","chr4",101106176,101107226,60,129,128,246,54
"14473","chr4",101112411,101120484,641,1559,2339,3526,926
"14474","chr4",101121776,101122557,18,64,89,120,30
"14475","chr4",101135543,101136079,63,55,113,178,86
"14476","chr4",101139365,101140921,141,123,245,424,145
"14477","chr4",101150133,101150942,61,121,163,254,80
"14478","chr4",101157207,101158743,130,225,347,604,161
"14479","chr4",101191097,101192533,140,192,271,421,168
"14480","chr4",101304189,101305799,256,376,372,684,268
"14481","chr4",101344788,101348562,642,1070,863,2231,870
"14482","chr4",102430540,102431514,71,103,145,246,82
"14483","chr4",102438454,102439658,52,54,129,112,46
"14484","chr4",102499923,102516185,4532,5516,6552,9477,4633
"14485","chr4",102517583,102519802,307,384,467,645,307
"14486","chr4",102521296,102525221,556,523,522,777,447
"14487","chr4",102527822,102529298,377,248,267,356,252
"14488","chr4",102539582,102542288,400,328,415,618,335
"14489","chr4",102548429,102549033,145,75,86,147,73
"14490","chr4",102552052,102552918,102,74,110,139,90
"14491","chr4",102553700,102556129,342,302,282,470,241
"14492","chr4",102556886,102557884,113,84,126,209,110
"14493","chr4",102568124,102568809,89,72,88,113,28
"14494","chr4",102575884,102577382,165,147,177,264,119
"14495","chr4",102578103,102579561,327,216,375,418,254
"14496","chr4",102588738,102590145,252,162,220,304,152
"14497","chr4",102598005,102600986,265,268,404,518,260
"14498","chr4",102603862,102608633,1295,1319,1792,2173,1254
"14499","chr4",102609119,102610794,141,169,216,336,157
"14500","chr4",102640554,102643238,844,479,655,1300,685
"14501","chr4",102678700,102681043,441,230,338,504,395
"14502","chr4",102683962,102686778,668,283,429,475,366
"14503","chr4",102687723,102688580,221,63,87,119,86
"14504","chr4",102760039,102761758,262,293,321,661,289
"14505","chr4",102796855,102800619,651,423,536,658,389
"14506","chr4",102805596,102813917,1222,683,827,1172,790
"14507","chr4",102821398,102822404,153,92,103,193,98
"14508","chr4",102822928,102828929,2680,2423,2752,5117,2519
"14509","chr4",102831332,102832508,146,153,154,219,97
"14510","chr4",102868350,102871026,654,835,868,1548,723
"14511","chr4",103018423,103020338,383,309,369,604,380
"14512","chr4",103037004,103037723,203,78,166,251,124
"14513","chr4",103048282,103049419,114,83,140,185,96
"14514","chr4",103075640,103077106,184,164,160,405,147
"14515","chr4",103091321,103093498,226,321,470,410,216
"14516","chr4",103094468,103096412,249,344,578,645,308
"14517","chr4",103096948,103099869,308,546,650,830,346
"14518","chr4",103197876,103198800,74,76,102,171,52
"14519","chr4",103305574,103308091,1202,555,840,1101,888
"14520","chr4",103995800,103997286,234,150,280,489,175
"14521","chr4",104016336,104018815,176,193,393,597,160
"14522","chr4",104019175,104023583,220,250,542,639,163
"14523","chr4",104028520,104029206,56,69,91,138,44
"14524","chr4",104064558,104065940,84,132,221,332,78
"14525","chr4",104186630,104187760,22,36,135,89,22
"14526","chr4",104261982,104264936,300,306,617,671,282
"14527","chr4",104272945,104274096,131,115,176,257,78
"14528","chr4",104274816,104281786,909,1485,2126,2793,968
"14529","chr4",104302463,104304015,473,364,633,676,350
"14530","chr4",104342208,104343502,63,53,107,151,32
"14531","chr4",104393392,104396246,201,351,796,1021,222
"14532","chr4",104420208,104426330,376,344,599,985,314
"14533","chr4",104450992,104452496,75,102,161,211,86
"14534","chr4",104464272,104465938,310,235,268,276,150
"14535","chr4",104486780,104496392,1233,2354,3351,4674,1413
"14536","chr4",104499985,104500809,28,56,73,106,34
"14537","chr4",104523621,104525211,248,180,351,417,180
"14538","chr4",104530496,104531782,34,71,104,107,26
"14539","chr4",104616478,104617510,146,48,108,142,86
"14540","chr4",104859958,104860638,51,46,103,129,39
"14541","chr4",105145029,105150044,718,847,1027,1820,845
"14542","chr4",105150499,105150869,38,34,38,72,41
"14543","chr4",105161342,105162638,234,110,154,239,134
"14544","chr4",105179696,105180350,91,71,105,96,78
"14545","chr4",105181087,105181536,121,52,73,80,47
"14546","chr4",105184582,105187222,420,192,233,305,251
"14547","chr4",105190308,105190881,78,44,78,89,62
"14548","chr4",105191544,105192017,84,55,72,111,88
"14549","chr4",105202312,105204087,372,112,167,206,200
"14550","chr4",105210273,105211592,191,139,129,263,118
"14551","chr4",105214550,105217450,883,570,567,901,542
"14552","chr4",105223535,105227531,620,547,754,989,498
"14553","chr4",105239174,105244026,1044,1171,1592,2191,1015
"14554","chr4",105273706,105274723,110,146,120,139,61
"14555","chr4",105277199,105278092,162,120,104,230,80
"14556","chr4",105360972,105361343,55,35,81,67,46
"14557","chr4",105423589,105423983,79,48,78,80,55
"14558","chr4",105433298,105435152,368,92,149,281,223
"14559","chr4",105459809,105462334,623,311,678,1015,608
"14560","chr4",105471558,105474532,498,580,635,1403,568
"14561","chr4",105630717,105631911,92,46,42,69,24
"14562","chr4",105698660,105699907,117,76,143,152,72
"14563","chr4",105708035,105709290,243,285,303,609,300
"14564","chr4",106045881,106046698,181,88,56,129,92
"14565","chr4",106301566,106302694,198,108,128,159,106
"14566","chr4",106315644,106317386,367,413,495,856,337
"14567","chr4",107640629,107641214,96,50,54,101,48
"14568","chr4",107645370,107646909,247,176,227,266,218
"14569","chr4",107658753,107659713,168,110,139,187,127
"14570","chr4",107663320,107667067,605,372,471,657,372
"14571","chr4",107683545,107684667,109,91,124,165,60
"14572","chr4",107687354,107688971,303,151,190,259,185
"14573","chr4",107711891,107712511,120,87,109,162,77
"14574","chr4",107713766,107714862,147,112,119,185,109
"14575","chr4",107715912,107720881,675,863,984,2080,715
"14576","chr4",107721672,107722252,49,84,79,132,52
"14577","chr4",107913270,107913876,18,45,86,103,50
"14578","chr4",107929609,107932471,421,540,520,1113,410
"14579","chr4",107964749,107967456,210,310,486,677,242
"14580","chr4",107968797,107971498,200,405,619,739,302
"14581","chr4",107972287,107974803,91,212,387,444,148
"14582","chr4",107976548,107980554,531,1071,1848,2475,818
"14583","chr4",107989181,107990969,185,254,360,697,218
"14584","chr4",108024490,108025369,182,107,128,122,118
"14585","chr4",108610850,108612776,309,197,196,406,257
"14586","chr4",108618989,108621597,368,272,329,782,298
"14587","chr4",108649954,108651051,171,134,163,337,148
"14588","chr4",108742369,108743745,302,267,220,257,185
"14589","chr4",109432831,109435341,470,620,530,1168,526
"14590","chr4",109481372,109482485,156,154,227,412,153
"14591","chr4",109497388,109498103,56,69,147,239,85
"14592","chr4",109538346,109540691,418,347,389,809,426
"14593","chr4",109559877,109561337,68,142,99,337,145
"14594","chr4",109729608,109730635,48,90,80,217,80
"14595","chr4",109815269,109815874,112,93,97,239,90
"14596","chr4",110046378,110051215,520,586,940,1006,498
"14597","chr4",110054970,110057348,685,464,768,925,615
"14598","chr4",110058031,110064731,1934,1765,2644,3698,1881
"14599","chr4",110067462,110070228,341,220,313,411,244
"14600","chr4",110071206,110072073,102,108,151,184,141
"14601","chr4",110079429,110079807,27,24,66,94,89
"14602","chr4",110084968,110086156,114,91,168,195,91
"14603","chr4",110086409,110088386,282,192,339,573,277
"14604","chr4",110091120,110092881,453,273,526,629,413
"14605","chr4",110103724,110105393,510,408,698,783,519
"14606","chr4",110121720,110122425,201,46,107,129,98
"14607","chr4",110151798,110154037,410,193,327,368,357
"14608","chr4",110163195,110163499,48,14,61,70,41
"14609","chr4",110184972,110185469,79,31,44,85,60
"14610","chr4",110191701,110199288,2247,1977,2391,3467,2130
"14611","chr4",111397811,111402042,735,830,1156,1510,758
"14612","chr4",111837923,111840524,973,739,1288,1032,856
"14613","chr4",111847401,111847853,19,39,40,56,22
"14614","chr4",112144345,112146810,90,184,288,451,189
"14615","chr4",112147530,112148285,18,35,78,79,18
"14616","chr4",112181003,112183879,340,518,976,1005,495
"14617","chr4",112185459,112186557,65,99,163,192,80
"14618","chr4",112189625,112190219,51,72,104,99,35
"14619","chr4",112230869,112232809,404,528,524,1226,512
"14620","chr4",112252248,112252779,36,40,70,82,38
"14621","chr4",112636430,112637954,612,643,856,1325,605
"14622","chr4",112816796,112820869,1089,956,1402,1883,962
"14623","chr4",112821594,112824426,791,419,551,884,636
"14624","chr4",112825775,112828673,507,417,571,581,345
"14625","chr4",112839031,112841687,377,259,347,388,246
"14626","chr4",112842439,112843204,174,78,187,123,96
"14627","chr4",112848401,112850232,194,246,279,309,147
"14628","chr4",112851224,112864335,4032,5318,7818,8562,4208
"14629","chr4",112865099,112868617,721,813,1095,1062,594
"14630","chr4",112869223,112869971,84,47,97,101,50
"14631","chr4",112870288,112870839,43,61,86,87,55
"14632","chr4",112871410,112872264,147,139,178,165,110
"14633","chr4",112876591,112878219,210,239,347,259,178
"14634","chr4",112879197,112911757,9040,10249,14274,16656,8416
"14635","chr4",112914646,112915260,63,73,120,135,53
"14636","chr4",112916599,112919482,389,443,601,656,354
"14637","chr4",112919979,112920844,129,85,202,154,110
"14638","chr4",112925908,112926951,177,168,330,205,148
"14639","chr4",112929329,112931675,651,285,714,641,480
"14640","chr4",112934225,112936283,301,240,423,444,274
"14641","chr4",112936894,112941191,606,770,1183,1432,658
"14642","chr4",112941805,112950297,1575,2237,3449,4212,1840
"14643","chr4",112951081,112957986,2147,3144,5020,6098,2473
"14644","chr4",112959210,112963258,465,532,835,787,435
"14645","chr4",112966898,112969643,267,302,385,425,280
"14646","chr4",112972955,112976267,464,554,779,956,412
"14647","chr4",112976775,112977230,57,69,121,100,48
"14648","chr4",112979815,112983101,710,635,728,676,547
"14649","chr4",113003986,113014706,1361,1928,2611,2925,1360
"14650","chr4",113015874,113017786,147,265,243,194,125
"14651","chr4",113019778,113024195,860,1093,1086,1378,824
"14652","chr4",113025148,113027091,275,339,340,332,213
"14653","chr4",113031669,113033409,118,157,219,170,149
"14654","chr4",113035998,113037716,400,305,397,432,324
"14655","chr4",113040980,113048113,1414,935,1902,2165,1311
"14656","chr4",113048622,113064611,2040,2869,4556,5196,2517
"14657","chr4",113066452,113066752,34,32,73,63,40
"14658","chr4",113067338,113069384,174,138,280,253,165
"14659","chr4",113070967,113073220,158,210,248,220,180
"14660","chr4",113073349,113097104,3234,4540,7061,7731,3763
"14661","chr4",113102950,113104368,136,138,251,222,123
"14662","chr4",113104931,113108643,427,493,1047,877,464
"14663","chr4",113116001,113117022,78,109,177,176,78
"14664","chr4",113126277,113127266,176,114,201,236,124
"14665","chr4",113131193,113131966,128,41,126,136,106
"14666","chr4",113141661,113142364,88,113,177,232,94
"14667","chr4",113152243,113152439,44,26,57,52,51
"14668","chr4",113196188,113196641,64,56,63,75,55
"14669","chr4",113211068,113213480,240,233,530,560,240
"14670","chr4",113273562,113273825,26,49,59,70,20
"14671","chr4",113276791,113277315,61,68,104,128,80
"14672","chr4",113290908,113297128,769,689,1198,1515,810
"14673","chr4",113300458,113300973,59,38,84,84,44
"14674","chr4",113307382,113308916,232,121,159,267,141
"14675","chr4",113315999,113317827,190,189,266,425,232
"14676","chr4",113326775,113328219,182,168,318,296,164
"14677","chr4",113332094,113332513,55,66,99,68,52
"14678","chr4",113349626,113350197,78,43,74,78,56
"14679","chr4",113354939,113356245,122,138,236,181,89
"14680","chr4",113358180,113359950,283,161,247,212,144
"14681","chr4",113382131,113384956,182,242,367,379,192
"14682","chr4",113403402,113403825,83,41,96,88,47
"14683","chr4",113445993,113446519,105,20,68,125,72
"14684","chr4",113447797,113449200,188,125,151,207,174
"14685","chr4",113450072,113455249,1191,907,1130,1416,1033
"14686","chr4",113467607,113469123,386,351,506,518,412
"14687","chr4",113528264,113528909,129,55,96,88,101
"14688","chr4",113587250,113588363,180,100,216,232,124
"14689","chr4",113612066,113613562,261,207,187,220,187
"14690","chr4",113614354,113616927,346,277,401,461,270
"14691","chr4",113632778,113633789,115,151,119,148,126
"14692","chr4",113636912,113638337,140,170,196,286,147
"14693","chr4",113656331,113659041,541,267,365,465,463
"14694","chr4",113683198,113685871,790,556,762,776,515
"14695","chr4",113755521,113758308,253,316,525,786,330
"14696","chr4",113759766,113763624,1241,1322,1436,3001,1312
"14697","chr4",114383607,114384489,158,84,155,206,66
"14698","chr4",114496518,114498534,119,141,227,278,100
"14699","chr4",114503737,114504798,22,31,46,81,24
"14700","chr4",114509002,114511071,232,136,324,521,217
"14701","chr4",114518660,114520379,287,304,476,696,278
"14702","chr4",114527234,114528975,213,183,342,395,198
"14703","chr4",114533529,114539151,1668,1717,2667,3973,1534
"14704","chr4",114593767,114595413,115,61,131,246,82
"14705","chr4",114597158,114621781,6938,7071,8558,13852,6415
"14706","chr4",114622469,114667652,12573,15178,20776,30023,13565
"14707","chr4",114668003,114671420,467,433,511,988,436
"14708","chr4",114672257,114675018,381,294,422,688,309
"14709","chr4",114675887,114682555,833,813,1040,1774,772
"14710","chr4",114682901,114704444,3997,4609,6305,9287,4087
"14711","chr4",114707036,114708709,290,157,259,286,171
"14712","chr4",114710233,114715562,1047,485,784,926,624
"14713","chr4",114757315,114759744,292,362,523,766,237
"14714","chr4",114879956,114880417,44,34,33,61,19
"14715","chr4",114884843,114886017,135,112,159,217,70
"14716","chr4",114925440,114927404,481,414,584,941,378
"14717","chr4",116913447,116914581,148,91,295,181,116
"14718","chr4",117084335,117085943,540,506,442,765,413
"14719","chr4",117134210,117134755,13,64,60,91,24
"14720","chr4",117282761,117286732,744,1000,1507,1923,762
"14721","chr4",117327515,117328028,124,46,54,91,66
"14722","chr4",117399786,117400739,184,106,122,105,92
"14723","chr4",117460561,117461648,55,85,175,173,65
"14724","chr4",118278334,118279952,243,212,255,585,248
"14725","chr4",118591220,118592209,150,146,144,378,167
"14726","chr4",118630053,118630709,119,60,70,95,84
"14727","chr4",118685114,118685962,206,278,277,608,240
"14728","chr4",118715700,118716754,281,44,80,177,164
"14729","chr4",118738882,118740011,227,78,174,239,129
"14730","chr4",119039772,119041304,295,138,257,304,214
"14731","chr4",119135826,119136949,250,138,215,236,183
"14732","chr4",119212487,119213284,116,68,73,145,89
"14733","chr4",119454135,119455448,230,295,280,682,320
"14734","chr4",119468788,119469660,380,114,177,224,219
"14735","chr4",119497201,119499412,654,435,576,798,452
"14736","chr4",120066631,120068132,502,385,453,1019,412
"14737","chr4",120921961,120922750,150,44,21,190,104
"14738","chr4",121695351,121697872,157,250,338,591,184
"14739","chr4",121711517,121712062,62,38,44,109,38
"14740","chr4",121800732,121801821,260,334,299,682,250
"14741","chr4",121824005,121825266,107,121,169,389,127
"14742","chr4",121847023,121847881,204,78,77,184,71
"14743","chr4",121869061,121870914,177,248,326,779,233
"14744","chr4",122151728,122153625,359,435,499,1071,421
"14745","chr4",122163955,122164460,70,75,76,96,52
"14746","chr4",122167442,122172725,1012,701,1051,1597,735
"14747","chr4",122184649,122185522,156,78,140,188,94
"14748","chr4",122205247,122205989,156,54,126,186,120
"14749","chr4",122268439,122269019,103,77,81,169,59
"14750","chr4",122302612,122304191,171,170,245,370,98
"14751","chr4",122537597,122538073,54,40,75,79,27
"14752","chr4",122576688,122579090,50,182,382,572,124
"14753","chr4",122582472,122587449,372,1525,2511,4388,978
"14754","chr4",122721073,122721904,46,62,78,119,68
"14755","chr4",122728942,122729350,135,30,79,79,65
"14756","chr4",122731698,122733197,177,148,172,446,136
"14757","chr4",122736118,122737104,288,72,69,167,141
"14758","chr4",122854454,122855418,101,109,136,236,97
"14759","chr4",122921881,122923434,102,207,209,563,199
"14760","chr4",122959392,122960762,398,178,222,404,190
"14761","chr4",123298019,123298662,189,105,126,180,117
"14762","chr4",123304767,123306420,268,141,158,367,183
"14763","chr4",123307529,123308271,178,84,77,179,100
"14764","chr4",123699665,123700973,652,350,539,820,389
"14765","chr4",124666092,124667528,332,162,168,363,222
"14766","chr4",124685131,124686931,494,238,332,458,294
"14767","chr4",124710122,124714236,911,949,987,1994,872
"14768","chr4",125004493,125005243,223,52,82,132,136
"14769","chr4",125313418,125318447,416,1084,1218,2074,677
"14770","chr4",125319061,125320010,18,63,66,68,26
"14771","chr4",125320447,125325924,224,723,802,1172,277
"14772","chr4",125330308,125335515,116,511,546,740,162
"14773","chr4",125337729,125339199,94,169,225,217,67
"14774","chr4",125340722,125341943,100,176,235,394,84
"14775","chr4",125344735,125356316,1569,3245,4110,5027,2012
"14776","chr4",125357596,125358649,57,116,122,166,59
"14777","chr4",125359875,125360227,22,38,55,77,24
"14778","chr4",125368143,125369256,108,146,189,287,125
"14779","chr4",125387727,125388151,12,39,38,83,17
"14780","chr4",125451607,125452698,191,169,133,277,134
"14781","chr4",125836648,125837883,40,48,58,104,58
"14782","chr4",125838618,125839868,163,92,198,272,110
"14783","chr4",126051289,126052788,463,299,687,943,390
"14784","chr4",126071085,126073223,524,365,506,853,352
"14785","chr4",126564054,126564749,159,82,84,158,132
"14786","chr4",126568464,126570339,1039,608,780,1170,787
"14787","chr4",127643484,127644124,86,31,62,136,61
"14788","chr4",127781517,127784737,386,411,432,746,330
"14789","chr4",127880332,127881093,109,121,96,233,121
"14790","chr4",127963823,127965973,201,263,264,567,221
"14791","chr4",128060640,128062505,352,348,190,718,312
"14792","chr4",128287137,128288800,313,424,280,729,482
"14793","chr4",128386054,128388094,38,102,118,175,66
"14794","chr4",128589690,128590722,129,54,86,191,139
"14795","chr4",128597752,128602279,1550,809,1064,1893,1406
"14796","chr4",128635032,128636738,633,310,534,916,544
"14797","chr4",128652814,128654693,649,348,523,1098,610
"14798","chr4",128668199,128669327,207,134,208,510,272
"14799","chr4",128809025,128812653,482,637,583,1340,565
"14800","chr4",128863342,128864041,63,46,82,150,66
"14801","chr4",129091792,129094196,348,326,514,1111,441
"14802","chr4",129095718,129096707,307,231,332,592,252
"14803","chr4",129254037,129254762,164,84,104,99,60
"14804","chr4",131257501,131259568,697,389,550,776,422
"14805","chr4",132735060,132735816,236,150,227,281,228
"14806","chr4",132761785,132765043,697,128,190,253,722
"14807","chr4",132843259,132844130,83,73,127,158,116
"14808","chr4",132865844,132867934,187,305,537,365,96
"14809","chr4",132922836,132923902,69,94,207,163,124
"14810","chr4",132934661,132935406,114,91,131,154,83
"14811","chr4",132952144,132961888,2821,3985,6395,8055,3243
"14812","chr4",132962248,132965595,223,307,701,933,374
"14813","chr4",132977205,132977469,75,29,70,71,44
"14814","chr4",132991365,132994756,1038,737,1713,2089,1079
"14815","chr4",133014117,133017131,378,367,873,881,370
"14816","chr4",133063014,133063420,91,36,82,91,64
"14817","chr4",133118841,133119730,63,70,142,138,73
"14818","chr4",133130801,133133114,546,381,651,981,470
"14819","chr4",133136938,133138175,110,162,194,293,122
"14820","chr4",133140904,133170972,4117,8965,8879,14309,5108
"14821","chr4",133171523,133174510,182,345,242,376,158
"14822","chr4",133175161,133189175,996,2077,1549,2040,870
"14823","chr4",134463520,134464278,180,56,60,181,63
"14824","chr4",135052034,135052962,283,90,80,152,114
"14825","chr4",136103705,136104135,89,24,64,85,60
"14826","chr4",136713398,136713556,10,48,21,33,4
"14827","chr4",136739629,136743500,560,334,456,394,328
"14828","chr4",136748684,136749174,14,17,30,21,22
"14829","chr4",137089667,137090566,158,75,52,110,102
"14830","chr4",137169399,137169814,101,63,57,96,49
"14831","chr4",137200736,137201077,77,36,32,65,45
"14832","chr4",137206675,137207425,141,87,126,239,93
"14833","chr4",137211192,137213439,957,651,802,1335,650
"14834","chr4",137622888,137623853,248,138,125,218,146
"14835","chr4",137648361,137649128,277,179,196,352,216
"14836","chr4",138190464,138191633,220,370,78,112,180
"14837","chr4",138198947,138200047,123,225,44,40,96
"14838","chr4",138215406,138218320,490,969,47,60,447
"14839","chr4",138225315,138226625,185,262,50,75,107
"14840","chr4",138241089,138242764,149,399,78,86,140
"14841","chr4",138609179,138610756,114,176,206,130,134
"14842","chr4",138871007,138871637,30,70,58,32,34
"14843","chr4",138888927,138890038,100,365,425,138,168
"14844","chr4",138891432,138892316,20,86,80,32,14
"14845","chr4",138909473,138912787,104,1514,1475,168,632
"14846","chr4",138918734,138920754,161,410,223,213,120
"14847","chr4",138981865,138982536,42,62,71,85,30
"14848","chr4",139015144,139016462,329,284,178,445,293
"14849","chr4",139018218,139020469,343,237,251,361,237
"14850","chr4",139023872,139031235,2098,1958,2066,2938,1909
"14851","chr4",139042583,139043473,155,93,110,222,136
"14852","chr4",139044123,139045240,154,102,143,199,82
"14853","chr4",139072838,139073619,99,83,128,163,107
"14854","chr4",139082418,139085352,1007,1119,1305,2479,1151
"14855","chr4",139099399,139101674,186,167,358,459,162
"14856","chr4",139142341,139143967,191,159,226,305,172
"14857","chr4",139152993,139155345,262,203,280,332,176
"14858","chr4",139171934,139172686,63,29,94,118,52
"14859","chr4",139174487,139178989,1068,1321,1306,3030,1324
"14860","chr4",139207711,139208551,103,78,134,295,130
"14861","chr4",139294888,139296236,210,267,392,693,228
"14862","chr4",139297032,139297854,76,104,104,158,63
"14863","chr4",139299596,139302908,654,615,573,1280,596
"14864","chr4",139323380,139325051,201,162,247,392,154
"14865","chr4",139329121,139332355,1090,907,1322,1923,1044
"14866","chr4",139353083,139353658,54,91,122,167,77
"14867","chr4",139360471,139363477,288,374,691,1226,425
"14868","chr4",139366953,139369496,441,420,594,893,398
"14869","chr4",139374712,139376582,336,223,385,464,232
"14870","chr4",139387233,139389905,464,462,588,820,368
"14871","chr4",139405108,139405622,108,65,87,133,72
"14872","chr4",139453142,139456758,397,623,675,1337,474
"14873","chr4",139521530,139522690,348,217,452,551,253
"14874","chr4",139523242,139524802,132,100,195,443,115
"14875","chr4",139535448,139536614,226,134,214,313,205
"14876","chr4",139542051,139542520,84,34,86,83,66
"14877","chr4",139550600,139561138,2392,2342,2804,4071,2132
"14878","chr4",139566407,139571676,1787,1515,1434,1918,1310
"14879","chr4",139574534,139576787,561,322,292,493,369
"14880","chr4",139589403,139590177,239,98,150,239,166
"14881","chr4",139651351,139651721,62,69,89,172,66
"14882","chr4",139734576,139735958,142,197,136,252,107
"14883","chr4",139740305,139741087,81,63,69,60,52
"14884","chr4",139783902,139784558,162,66,89,151,77
"14885","chr4",139815934,139816675,136,105,106,149,78
"14886","chr4",139884173,139885366,423,313,288,255,264
"14887","chr4",139887270,139888295,225,167,128,75,91
"14888","chr4",139889702,139890255,147,106,80,69,102
"14889","chr4",139957561,139959228,310,403,422,314,200
"14890","chr4",140043687,140044917,107,188,134,165,84
"14891","chr4",140098410,140100376,101,142,138,185,77
"14892","chr4",140152854,140154797,306,644,369,631,301
"14893","chr4",140236872,140239082,617,757,868,822,630
"14894","chr4",140251086,140255311,696,1298,1483,1829,737
"14895","chr4",140257349,140257837,41,64,72,48,47
"14896","chr4",140268070,140268821,69,66,71,49,38
"14897","chr4",140289155,140291003,210,174,291,298,171
"14898","chr4",140299322,140305771,913,888,1242,1505,740
"14899","chr4",140350956,140352157,584,277,470,477,375
"14900","chr4",140353599,140354109,150,56,49,114,113
"14901","chr4",140372913,140377871,953,544,839,1333,754
"14902","chr4",140523723,140524780,112,180,149,390,116
"14903","chr4",140609589,140610765,259,180,236,377,199
"14904","chr4",140632034,140633531,342,87,107,158,162
"14905","chr4",140644382,140646714,948,434,354,522,484
"14906","chr4",140686439,140693936,1628,626,657,1143,1256
"14907","chr4",140696636,140699674,785,370,437,586,865
"14908","chr4",140734997,140739091,1085,229,256,414,480
"14909","chr4",140739772,140746378,2449,788,758,1536,1609
"14910","chr4",140754192,140757283,872,452,289,684,621
"14911","chr4",141011819,141012401,170,38,70,125,96
"14912","chr4",141132646,141133498,146,72,61,156,80
"14913","chr4",141215063,141216137,53,152,218,288,47
"14914","chr4",141220287,141221654,218,242,175,510,229
"14915","chr4",143183361,143187391,888,703,665,1745,886
"14916","chr4",143204664,143205422,152,70,129,147,86
"14917","chr4",143213117,143214546,120,124,148,171,125
"14918","chr4",143217745,143218976,182,73,125,160,99
"14919","chr4",143335560,143349477,4284,4335,5818,9419,4628
"14920","chr4",143350818,143361800,1313,1130,1641,2153,1109
